[17:26:24] IP:124.20.22.79 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:29] IP:98.128.144.111 | CRITICAL | Command_Injection
[17:26:29] IP:188.243.119.243 | CRITICAL | Command_Injection
[17:26:29] IP:71.10.10.250 | MEDIUM | Brute_Force_Pattern
[17:26:29] IP:154.143.193.55 | HIGH | SQL_Injection
[17:26:30] IP:68.17.222.181 | CRITICAL | Command_Injection
[17:26:30] IP:179.49.243.187 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:30] IP:75.187.122.173 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:30] IP:64.167.44.57 | MEDIUM | Brute_Force_Pattern
[17:26:30] IP:193.237.247.176 | MEDIUM | Brute_Force_Pattern
[17:26:30] IP:105.7.46.113 | CRITICAL | Log4Shell
[17:26:30] IP:67.161.200.250 | HIGH | SQL_Injection
[17:26:30] IP:204.50.77.124 | MEDIUM | Brute_Force_Pattern
[17:26:30] IP:38.248.22.170 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:30] IP:212.211.167.147 | CRITICAL | Command_Injection
[17:26:30] IP:198.1.227.95 | MEDIUM | Brute_Force_Pattern
[17:26:30] IP:16.110.204.76 | CRITICAL | Command_Injection
[17:26:30] IP:16.152.138.3 | CRITICAL | Command_Injection
[17:26:30] IP:159.206.74.124 | CRITICAL | Command_Injection
[17:26:30] IP:196.42.30.225 | HIGH | SQL_Injection
[17:26:30] IP:112.221.43.132 | HIGH | SQL_Injection
[17:26:30] IP:107.219.63.249 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:30] IP:47.24.25.55 | MEDIUM | Brute_Force_Pattern
[17:26:30] IP:95.194.240.171 | CRITICAL | Command_Injection
[17:26:30] IP:159.143.33.117 | HIGH | SQL_Injection
[17:26:30] IP:50.105.150.213 | CRITICAL | Log4Shell
[17:26:30] IP:128.164.48.96 | HIGH | XSS_Attack
[17:26:30] IP:65.137.114.164 | HIGH | SQL_Injection
[17:26:30] IP:177.123.26.203 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:32] IP:44.175.108.100 | HIGH | SQL_Injection
[17:26:32] IP:200.230.155.131 | CRITICAL | Command_Injection
[17:26:32] IP:110.18.63.198 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:32] IP:96.165.108.112 | CRITICAL | Command_Injection
[17:26:33] IP:122.228.99.228 | HIGH | SQL_Injection
[17:26:32] IP:57.158.180.69 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:33] IP:98.39.43.124 | HIGH | XSS_Attack
[17:26:33] IP:24.201.4.231 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:33] IP:120.247.200.248 | HIGH | SQL_Injection
[17:26:33] IP:115.237.3.83 | CRITICAL | Log4Shell
[17:26:33] IP:142.193.103.198 | CRITICAL | Command_Injection
[17:26:33] IP:46.226.208.120 | HIGH | SQL_Injection
[17:26:33] IP:200.196.221.58 | CRITICAL | Log4Shell
[17:26:33] IP:159.171.23.222 | HIGH | SQL_Injection
[17:26:33] IP:174.166.13.236 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:33] IP:54.36.242.36 | MEDIUM | Brute_Force_Pattern
[17:26:33] IP:13.188.124.61 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:33] IP:43.11.129.65 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:33] IP:142.54.110.178 | HIGH | XSS_Attack
[17:26:33] IP:54.103.30.146 | HIGH | SQL_Injection
[17:26:33] IP:25.90.115.157 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:33] IP:204.137.116.208 | HIGH | XSS_Attack
[17:26:33] IP:173.159.215.200 | MEDIUM | Brute_Force_Pattern
[17:26:33] IP:135.42.29.26 | CRITICAL | Log4Shell
[17:26:33] IP:202.125.138.202 | CRITICAL | Command_Injection
[17:26:33] IP:136.235.28.158 | HIGH | SQL_Injection
[17:26:33] IP:212.19.130.124 | HIGH | SQL_Injection
[17:26:33] IP:108.245.114.204 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:33] IP:12.128.113.214 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:33] IP:68.216.94.134 | CRITICAL | Command_Injection
[17:26:33] IP:176.219.15.142 | CRITICAL | Log4Shell
[17:26:33] IP:32.154.92.196 | CRITICAL | Command_Injection
[17:26:33] IP:181.125.233.210 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:33] IP:20.145.84.221 | HIGH | SQL_Injection
[17:26:33] IP:42.173.59.195 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:33] IP:93.217.139.100 | HIGH | SQL_Injection
[17:26:33] IP:41.231.9.145 | HIGH | SQL_Injection
[17:26:33] IP:38.94.40.67 | MEDIUM | Brute_Force_Pattern
[17:26:34] IP:194.50.91.228 | CRITICAL | Command_Injection
[17:26:34] IP:125.138.199.127 | HIGH | SQL_Injection
[17:26:34] IP:62.130.205.164 | CRITICAL | Command_Injection
[17:26:34] IP:189.63.116.92 | HIGH | SQL_Injection
[17:26:34] IP:166.90.139.154 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:34] IP:134.131.138.180 | CRITICAL | Command_Injection
[17:26:34] IP:144.132.239.135 | HIGH | SQL_Injection
[17:26:34] IP:38.70.145.211 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:34] IP:123.154.223.164 | HIGH | SQL_Injection
[17:26:34] IP:215.111.87.174 | HIGH | SQL_Injection
[17:26:34] IP:173.191.209.83 | HIGH | SQL_Injection
[17:26:34] IP:195.35.94.194 | MEDIUM | Brute_Force_Pattern
[17:26:34] IP:177.227.41.102 | CRITICAL | Command_Injection
[17:26:34] IP:30.110.114.116 | MEDIUM | Brute_Force_Pattern
[17:26:34] IP:113.156.38.150 | CRITICAL | Log4Shell
[17:26:34] IP:83.86.63.245 | HIGH | SQL_Injection
[17:26:34] IP:37.89.38.207 | HIGH | XSS_Attack
[17:26:34] IP:93.127.61.235 | HIGH | SQL_Injection
[17:26:34] IP:146.223.165.239 | MEDIUM | Brute_Force_Pattern
[17:26:34] IP:167.177.99.94 | HIGH | XSS_Attack
[17:26:34] IP:220.49.223.49 | HIGH | SQL_Injection
[17:26:34] IP:185.141.121.247 | CRITICAL | Log4Shell
[17:26:34] IP:159.87.89.123 | HIGH | SQL_Injection
[17:26:34] IP:129.54.67.55 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:34] IP:95.194.49.171 | MEDIUM | Brute_Force_Pattern
[17:26:34] IP:40.150.180.222 | CRITICAL | Log4Shell
[17:26:34] IP:170.152.122.42 | CRITICAL | Command_Injection
[17:26:34] IP:25.166.246.169 | HIGH | SQL_Injection
[17:26:34] IP:148.14.211.17 | CRITICAL | Command_Injection
[17:26:34] IP:18.115.46.47 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:34] IP:115.105.81.101 | HIGH | SQL_Injection
[17:26:34] IP:98.44.184.49 | CRITICAL | Command_Injection
[17:26:34] IP:151.249.40.46 | HIGH | SQL_Injection
[17:26:34] IP:72.130.124.103 | HIGH | XSS_Attack
[17:26:34] IP:163.192.244.77 | HIGH | XSS_Attack
[17:26:35] IP:77.44.2.196 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:35] IP:161.196.198.144 | HIGH | SQL_Injection
[17:26:35] IP:38.178.127.176 | CRITICAL | Command_Injection
[17:26:35] IP:23.146.126.183 | MEDIUM | Brute_Force_Pattern
[17:26:35] IP:178.138.148.116 | MEDIUM | Brute_Force_Pattern
[17:26:35] IP:176.89.48.204 | CRITICAL | Command_Injection
[17:26:35] IP:161.65.112.32 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:35] IP:30.184.150.28 | HIGH | XSS_Attack
[17:26:35] IP:160.142.183.34 | CRITICAL | Log4Shell
[17:26:35] IP:18.189.19.79 | HIGH | SQL_Injection
[17:26:35] IP:22.222.187.24 | CRITICAL | Command_Injection
[17:26:35] IP:187.191.17.5 | CRITICAL | Log4Shell
[17:26:35] IP:153.190.36.175 | HIGH | SQL_Injection
[17:26:35] IP:206.193.146.153 | CRITICAL | Log4Shell
[17:26:35] IP:147.227.125.23 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:196.101.132.234 | HIGH | SQL_Injection
[17:26:35] IP:60.182.168.244 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:77.159.58.138 | HIGH | SQL_Injection
[17:26:35] IP:77.233.51.5 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:57.164.119.248 | CRITICAL | Command_Injection
[17:26:35] IP:82.224.91.66 | MEDIUM | Brute_Force_Pattern
[17:26:35] IP:103.45.151.64 | MEDIUM | Brute_Force_Pattern
[17:26:35] IP:177.220.241.168 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:201.71.233.128 | HIGH | SQL_Injection
[17:26:35] IP:85.50.240.241 | HIGH | XSS_Attack
[17:26:35] IP:144.130.121.232 | HIGH | SQL_Injection
[17:26:35] IP:189.74.129.219 | CRITICAL | Log4Shell
[17:26:35] IP:12.26.181.211 | CRITICAL | Command_Injection
[17:26:35] IP:21.8.232.226 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:138.199.175.69 | CRITICAL | Command_Injection
[17:26:35] IP:72.162.104.230 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:35] IP:81.88.160.53 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:35] IP:87.223.243.163 | HIGH | XSS_Attack
[17:26:35] IP:92.5.41.50 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:35] IP:218.159.69.61 | HIGH | SQL_Injection
[17:26:35] IP:103.129.22.104 | HIGH | SQL_Injection
[17:26:35] IP:141.75.157.219 | CRITICAL | Command_Injection
[17:26:36] IP:100.250.120.169 | HIGH | SQL_Injection
[17:26:36] IP:46.200.169.63 | MEDIUM | Brute_Force_Pattern
[17:26:36] IP:182.30.88.6 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:36] IP:33.205.26.99 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:36] IP:74.117.94.224 | CRITICAL | Command_Injection
[17:26:36] IP:135.87.7.216 | HIGH | SQL_Injection
[17:26:36] IP:60.50.177.207 | HIGH | XSS_Attack
[17:26:36] IP:84.6.88.203 | CRITICAL | Command_Injection
[17:26:36] IP:137.96.184.238 | CRITICAL | Command_Injection
[17:26:36] IP:213.5.159.137 | HIGH | SQL_Injection
[17:26:36] IP:126.25.10.46 | HIGH | XSS_Attack
[17:26:36] IP:44.238.173.247 | HIGH | SQL_Injection
[17:26:36] IP:183.188.90.118 | HIGH | SQL_Injection
[17:26:36] IP:147.218.227.41 | HIGH | SQL_Injection
[17:26:36] IP:201.25.183.190 | CRITICAL | Command_Injection
[17:26:36] IP:96.214.171.102 | HIGH | SQL_Injection
[17:26:36] IP:48.35.132.164 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:36] IP:96.136.27.23 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:36] IP:115.162.242.124 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:36] IP:200.39.166.167 | HIGH | SQL_Injection
[17:26:36] IP:89.118.236.13 | CRITICAL | Command_Injection
[17:26:36] IP:175.193.159.219 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:36] IP:24.45.224.11 | HIGH | SQL_Injection
[17:26:36] IP:168.184.135.64 | HIGH | SQL_Injection
[17:26:36] IP:219.19.96.112 | HIGH | SQL_Injection
[17:26:36] IP:91.181.247.249 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:36] IP:119.186.52.170 | HIGH | SQL_Injection
[17:26:36] IP:189.215.69.141 | HIGH | XSS_Attack
[17:26:36] IP:130.50.62.150 | HIGH | XSS_Attack
[17:26:36] IP:129.83.79.65 | CRITICAL | Log4Shell
[17:26:36] IP:194.50.88.198 | CRITICAL | Command_Injection
[17:26:36] IP:190.211.206.193 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:36] IP:188.78.102.15 | HIGH | SQL_Injection
[17:26:36] IP:213.119.237.78 | HIGH | SQL_Injection
[17:26:36] IP:124.206.77.235 | CRITICAL | Log4Shell
[17:26:36] IP:97.4.3.109 | CRITICAL | Command_Injection
[17:26:36] IP:139.135.5.35 | MEDIUM | Brute_Force_Pattern
[17:26:36] IP:57.109.151.232 | HIGH | SQL_Injection
[17:26:37] IP:185.229.78.192 | HIGH | SQL_Injection
[17:26:37] IP:165.198.163.175 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:37] IP:121.63.6.104 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:37] IP:110.119.54.47 | HIGH | SQL_Injection
[17:26:37] IP:95.32.192.3 | CRITICAL | Command_Injection + Path_Traversal + Brute_Force_Pattern
[17:26:37] IP:41.163.34.160 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:21.150.95.119 | CRITICAL | Command_Injection
[17:26:37] IP:188.157.188.203 | CRITICAL | Command_Injection
[17:26:37] IP:192.63.169.48 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:210.52.183.119 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:150.234.167.177 | CRITICAL | Command_Injection
[17:26:37] IP:101.236.72.119 | CRITICAL | Command_Injection
[17:26:37] IP:189.187.146.96 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:194.218.249.240 | CRITICAL | Command_Injection
[17:26:37] IP:18.141.15.218 | HIGH | SQL_Injection
[17:26:37] IP:108.219.166.125 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:37] IP:85.167.50.166 | CRITICAL | Command_Injection
[17:26:37] IP:151.155.35.98 | CRITICAL | Log4Shell
[17:26:37] IP:207.141.236.45 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:34.181.81.12 | CRITICAL | Log4Shell
[17:26:37] IP:41.170.95.242 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:37] IP:155.166.83.11 | HIGH | SQL_Injection
[17:26:37] IP:63.44.246.137 | HIGH | SQL_Injection
[17:26:37] IP:40.211.48.153 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:77.181.25.75 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:129.84.5.63 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:37] IP:72.228.25.59 | CRITICAL | SQL_Injection + XSS_Attack
[17:26:37] IP:14.210.247.213 | CRITICAL | Command_Injection
[17:26:37] IP:135.59.65.29 | MEDIUM | Brute_Force_Pattern
[17:26:37] IP:14.96.195.205 | HIGH | SQL_Injection
[17:26:37] IP:156.19.89.39 | HIGH | SQL_Injection
[17:26:37] IP:121.249.22.171 | CRITICAL | Command_Injection
[17:26:37] IP:158.124.176.119 | HIGH | SQL_Injection
[17:26:37] IP:170.233.157.55 | HIGH | SQL_Injection
[17:26:37] IP:70.200.172.2 | HIGH | SQL_Injection
